Ticker,Shares,Current Price,Ratio to entire portfolio,Beta SP
Cash,CASH,1,70.14,0.003765409864424918, 
Equity,MTN,2,229.52999877929688,0.024644269221129278,1.119
Equity,GNRC,6,136.6824951171875,0.04402614331980055,1.436
ETF,SPMD,48,52.699798583984375,0.13579903605908714,1.04
Fixed Income,SGOV,69,100.3949966430664,0.3718841379841874,
Equity,META,4,520.8900146484375,0.11185425716781673,1.208
Equity,VIRT,138,20.950000762939453,0.15520639942233366,0.385
Equity,VRTX,2,403.510009765625,0.043324225011852846,0.368
Equity,PERI,18,12.46500015258789,0.012045124345922809,1.245
Equity,CSV,24,25.55500030517578,0.03292559460547157,0.829
Equity,AX,7,51.5620002746582,0.019376453539289254,1.437
Equity,GTX,50,9.954999923706055,0.026721310887562078,1.309
Equity,ENPH,3,114.41999816894531,0.018427638571121802,1.473
